invoice_date,invoice_number,location_zip,total,completion_date
2021-07-23,26639317,80906.0,0.0,2021-07-23
2021-07-14,26639699,80132.0,127.0,2021-07-14
2021-07-13,26639956,80918.0,1381.4,2021-07-13
2021-06-23,26641494,80919.0,2077.0,2021-06-23
2021-07-15,26642679,80919.0,0.0,2021-07-15
2021-07-13,26643028,80923.0,49.0,2021-07-13
2021-07-13,26643795,80918.0,236.0,2021-07-13
2021-07-14,26645081,80909.0,347.0,2021-07-14
2021-06-30,26651733,80924.0,669.0,2021-06-30
2021-07-13,26670969,80904.0,108.0,2021-07-13
2021-07-12,26671581,80906.0,0.0,2021-07-12
2021-07-02,26671852,80906.0,349.0,2021-07-02
2021-07-09,26672211,80907.0,0.0,2021-07-09
2021-07-13,26672602,80132.0,275.0,2021-07-13
2021-07-19,26672617,80817.0,467.4,2021-07-19
2021-07-13,26677599,80907.0,537.0,2021-07-14
2021-07-09,26677613,80920.0,607.0,2021-07-13
2021-06-29,26685139,80920.0,1355.4,2021-06-29
2021-07-01,26685523,80919.0,719.0,2021-07-01
2021-07-14,26699488,80925.0,0.0,2021-07-14
2021-07-14,26699987,80904.0,49.0,2021-07-14
2021-06-29,26700629,80920.0,1370.0,2021-06-29
2021-07-07,26701779,80910.0,398.0,2021-07-07
2021-07-14,26702547,80925.0,339.4,2021-07-14
2021-06-30,26712147,80909.0,0.0,2021-06-30
2021-07-13,26725338,80921.0,231.0,2021-07-13
2021-07-09,26725730,80911.0,173.0,2021-07-09
2021-07-09,26729696,80906.0,49.0,2021-07-09
2021-07-08,26730963,80921.0,0.0,2021-07-08
2021-07-08,26732907,80921.0,0.0,2021-07-08
2021-07-21,26733580,80927.0,103.0,2021-07-21
2021-07-01,26734167,80909.0,467.0,2021-07-01
2021-07-02,26734291,80922.0,84.0,2021-07-02
2021-07-14,26734305,80920.0,283.0,2021-07-14
2021-07-13,26736979,80906.0,81.0,2021-07-13
2021-07-13,26742611,80907.0,49.0,2021-07-13
2021-06-30,26745562,80911.0,187.0,2021-06-30
2021-06-30,26752979,80904.0,1453.0,2021-07-02
2021-07-14,26757587,80923.0,72.0,2021-07-14
2021-07-20,26759507,80908.0,386.4,2021-07-20
2021-07-07,26765779,80920.0,564.0,2021-07-07
2021-07-02,26784852,80911.0,0.0,2021-07-02
2021-07-13,26787411,80919.0,236.0,2021-07-13
2021-07-06,26787539,80904.0,0.0,2021-07-06
2021-07-07,26787795,80132.0,466.0,2021-07-07
2021-07-15,26788700,80915.0,49.0,2021-07-15
2021-07-15,26792532,80909.0,143.0,2021-07-15
2021-07-09,26795859,80908.0,226.95,2021-07-13
2021-07-09,26800083,80920.0,145.0,2021-07-09
2021-07-15,26801887,80919.0,384.0,2021-07-15
2021-07-09,26802139,80917.0,49.0,2021-07-09
2021-07-19,26802267,80920.0,662.4,2021-07-19
2021-07-01,26802401,80910.0,0.0,2021-07-01
2021-07-15,26802899,80920.0,1588.4,2021-07-15
2021-07-13,26803283,80924.0,275.4,2021-07-13
2021-07-02,26804826,80903.0,463.0,2021-07-02
2021-07-13,26808659,80910.0,255.0,2021-07-13
2021-07-09,26809043,80919.0,167.4,2021-07-09
2021-07-02,26811475,80918.0,0.0,2021-07-02
2021-07-13,26812115,80919.0,0.0,2021-07-13
2021-07-09,26812499,80132.0,317.0,2021-07-09
2021-07-06,26819163,80906.0,0.0,2021-07-06
2021-07-14,26824020,80132.0,794.95,2021-07-14
2021-07-07,26831584,80831.0,0.0,2021-07-07
2021-07-14,26833378,80132.0,49.0,2021-07-14
2021-07-06,26833622,80132.0,0.0,2021-07-06
2021-07-14,26833747,80923.0,261.0,2021-07-14
2021-07-02,26834004,80906.0,281.0,2021-07-02
2021-07-14,26834515,80905.0,84.0,2021-07-14
2021-07-14,26841692,80939.0,648.4,2021-07-14
2021-07-06,26846675,80911.0,154.0,2021-07-06
2021-07-06,26846685,80911.0,2276.0,2021-07-06
2021-07-14,26854871,80919.0,0.0,2021-07-14
2021-07-14,26854871-1,80919.0,49.0,2021-07-14
2021-07-13,26855123,80907.0,271.0,2021-07-13
2021-07-13,26855507,80907.0,816.4,2021-07-13
2021-07-15,26856792,80922.0,896.0,2021-07-15
2021-07-07,26862549,80923.0,268.0,2021-07-07
2021-07-06,26863827,80921.0,0.0,2021-07-06
2021-07-07,26864340,80923.0,470.0,2021-07-07
2021-07-07,26868307,80904.0,107.0,2021-07-07
2021-08-10,26868307-1,80904.0,-107.0,2021-07-07
2021-07-07,26873043,80920.0,49.0,2021-07-07
2021-07-14,26874323,80919.0,94.0,2021-07-14
2021-07-08,26875091,80904.0,435.0,2021-07-08
2021-07-15,26876134,80921.0,98.0,2021-07-15
2021-07-07,26876764,80906.0,0.0,2021-07-07
2021-07-09,26876780,80919.0,264.0,2021-07-09
2021-07-15,26876792,80905.0,0.0,2021-07-15
2021-07-07,26877779,80920.0,0.0,2021-07-07
2021-07-07,26878167,80921.0,118.0,2021-07-07
